idasso	identifiant	type	datedeclaration	lieu_declaration	cp	titre	ancien_titre	nouveau_titre	objet	nouvel_objet	additif_objet	themes	siege_social	web	email	dateparution	numparution	page_debut	page_fin
			27/10/2004	Déclaration à la sous-préfecture de Belley. 	01350	TENNIS-CLUB CULOZ. 			pratique du tennis. 			15	base de loisirs, 01350 Culoz		culoz.tennisclub@free.fr	27/11/2004	20040048	5280	
			4/11/2004	Déclaration à la sous-préfecture de Belley. 	01360	KARIBOO'S TEAM. 			regrouper les soutiens financiers, matériels ou moraux nécessaires en vue de participer au championnat de France de la montagne moto ainsi que toute autre compétition moto. 			15	27, impasse des Fleurs, 01360 Loyettes		olive.rehn@wanadoo.fr	27/11/2004	20040048	5280	
			8/11/2004	Déclaration à la sous-préfecture de Belley. 	01300	LOISIR AVENIR BELLEYSAR (L.A.B.). 						11	2, rue du Chapitre, 01300 Belley			27/11/2004	20040048	5280	
			22/09/2004	Déclaration à la sous-préfecture de Soissons. 	02200	POLE PICARD DES JEUX SPORTIFS FEDERAUX - E.P.M.M. SPORTS POUR TOUS. 			promouvoir les activités physiques et sportives de détente, de loisir et de compétition à tous les âges et dans tous les milieux ; l'association considère ces activités comme un élément important de l'éducation, de la culture, de la santé publique, de l'intégration et de la participation à la vie sociale. 			15,11,14	8, sente Vigne-Porale (avenue Kennedy), 02200 Soissons		edspeed02@aol.com	27/11/2004	20040048	5280	
			5/10/2004	Déclaration à la sous-préfecture de Soissons. 	02210	ASSOCIATION DE L'ENVIRONNEMENT, DU CADRE DE VIE ET DE LA RURALITE A VIERZY (AECVRV). 			défendre et veiller au respect : de l'environnement, du cadre de vie et de la ruralité à Vierzy par tous moyens, y compris juridiques. 			6,14,9	4 bis, hameau de Vauxcastille, 02210 Vierzy		aecvrv@hotmail.com	27/11/2004	20040048	5280	
			6/10/2004	Déclaration à la préfecture de l'Aisne. 	02300	LES CABEBO. 			organiser des manifestations (marché de Noël, une kermesse...) et festivités bénéficiant aux élèves du regroupement. 			11,5,10	21, route de Noyon, 02300 Camelin			27/11/2004	20040048	5280	
			3/11/2004	Déclaration à la sous-préfecture de Vichy. 	03700	12 LENSOIS, SECTION « LES PETILLANTS DE VICHY ». 			encourager le R.C. Lens ; organiser des déplacements de supporters ; vendre des gadgets visant à la promotion du R.C. Lens. 			15	le Gallea, 1, avenue de la République, 03700 Bellerive-sur-Allier			27/11/2004	20040048	5280	
			5/11/2004	Déclaration à la sous-préfecture de Vichy. 	03700	ASSOCIATION DES AMIS DU MAGNETISME. 			recherche des moyens de soulagement des douleurs et maladies par le magnétisme et analyse des résultats. 			13	appartement 48, résidence le Golf, bâtiment A, 03700 Bellerive-sur-Allier			27/11/2004	20040048	5280	
			3/11/2004	Déclaration à la sous-préfecture de Vichy. 	03300		SAINTE-AGATHE PASSING SHOT.	A.S. TURIERS-TENNIS-TOURNOIS. 		pratique du tennis, organisation de tournois. 		15	plaine de Sainte-Agathe, route de Néris, 03310 Villebret			27/11/2004	20040048	5280	
			4/11/2004	Déclaration à la sous-préfecture de Vichy. 	03120	COMITE DES OEUVRES SOCIALES DU PERSONNEL DU PAYS DE LAPALISSE. 					l'action de l'association peut s'exercer également en faveur des agents permanents : du syndicat intercommunal scolaire de Lapalisse (S.I.S.C.O.L.), de la communauté de communes du pays de Lapalisse et de toutes communes adhérentes à la communauté de communes du pays de Lapalisse. 	14,8	maison des associations, 21, avenue Charles-de-Gaulle, 03120 Lapalisse			27/11/2004	20040048	5280	
